,BSM CALL,BSM PUT,Fourier Non-Damped,Fourier Damped ITM CALL 0.1,Fourier Damped ITM CALL 1.1,Fourier Damped ITM CALL 4.1,Fourier Damped ITM PUT -1.1,Fourier Damped ITM PUT -2.1,Fourier Damped ITM PUT -4.1,Fourier Damped OTM
0.36787944117144233,0.6332225433488033,2.673535716871863e-224,0.6332225433488281,0.6559775775081621,0.655977577497735,0.655977577165826,-1.2494282546966451e-12,-3.595690990478498e-13,-1.901355186936252e-14,0.8362553819227612
0.392395950579713,0.6087794732547067,4.987444500981956e-197,0.6087794732547145,0.6315345074149858,0.6315345074087396,0.6315345072995387,-1.3189916714590967e-12,-4.850465560290049e-13,-5.758166162583735e-14,0.8908699658630155
0.4185463083804132,0.582707448968387,1.4623983190973866e-171,0.5827074492452757,0.605462483130689,0.6054624831285117,0.6054624831241989,-8.476552635906155e-13,-3.705132638478691e-13,-6.267728385033771e-14,0.9542197907181275
0.4464393987758162,0.5548979124506883,6.749424048728891e-148,0.5548979124506883,0.5776529466143796,0.5776529466140894,0.5776529466302653,-3.935246239759401e-13,-2.0516580063281144e-13,-4.672840213400868e-14,1.0208061687433543
0.47619136231435283,0.5252350710527147,4.9119122743504585e-126,0.5252350711873401,0.547990105216963,0.547990105217087,0.5479901052271408,-1.502022186100246e-13,-9.378789252054133e-14,-2.7710593801387496e-14,1.0917564629522885
0.5079260794737072,0.49359541538131047,5.649264708955665e-106,0.49359541543765106,0.5163504495456988,0.5163504495457766,0.5163504495492846,-5.697211816485245e-14,-3.983916779961064e-14,-1.397624840422807e-14,1.1694299363792076
0.5417756864712342,0.45984720503375354,1.0297931391178087e-87,0.4598472050428416,0.4826022391981738,0.48260223919819123,0.48260223919898965,-2.2442381922344915e-14,-1.5781589418813037e-14,-5.913749077573346e-15,1.2548368864859187
0.5778811254494193,0.42384992006038036,2.9866943759810904e-71,0.42384992006038047,0.4466049542248169,0.4466049542248182,0.4466049542249381,-7.158717561407853e-15,-5.123498220743232e-15,-1.961540494727773e-15,1.3485744521231244
0.616392731327227,0.38545367587115187,1.385419435257457e-56,0.38545367587147794,0.4082087100355952,0.408208710035595,0.4082087100356078,-1.7588129677397468e-15,-1.211011892039212e-15,-4.827882746680174e-16,1.453220834750043
0.6574708577608569,0.34449859914996694,1.0354138886661497e-43,0.34449859914996683,0.3672536333144125,0.36725363331441263,0.3672536333144137,-3.5341582395214097e-16,-2.318945913011969e-16,-9.931442038942937e-17,1.570924036759062
0.701286544820265,0.30081416217816814,1.2603190046151186e-32,0.3008141621781717,0.3235691963426141,0.32356919634261416,0.32356919634261405,-3.870354149402083e-17,-1.488425763785021e-17,-1.274846535941072e-17,1.7077901942727298
0.7480222311615063,0.2542184727955149,2.5407278785270712e-23,0.25421847279551457,0.27697350695996076,0.2769735069599609,0.2769735069599609,-3.89975448053592e-17,1.5256948585210946e-18,-2.1011239176085577e-18,1.8722632453110408
0.7978725136602237,0.20451751704218146,8.722825118864958e-16,0.20451751704218069,0.22727255120662657,0.2272725512066267,0.22727255120662668,9.443400882284288e-17,3.237310728079352e-17,1.9557095559717905e-17,2.0841980828348743
0.8510449576692257,0.15150435186497146,5.366672668936196e-10,0.1515043513726062,0.17425938550100661,0.17425938550100664,0.17425938550100667,8.256347738843342e-12,8.256540723589056e-12,8.256511511209729e-12,2.3913906695674303
0.9077609612738832,0.09496481614146646,6.575373991275432e-06,0.09495980661733205,0.11771366429361363,0.1177136642936137,0.11771366429361371,3.8936169255973286e-07,3.8936169258797786e-07,3.893616925826096e-07,2.9739992988364037
0.9682566771439106,0.03671329361368958,0.002069553527326601,0.03580770937352662,0.05781826769420531,0.05781826769420514,0.057818267694205165,0.0004194934434008292,0.00041949344340367945,0.00041949344339610163,5.446076475424582
1.0327839958199136,0.0030762072425645215,0.032766493958955256,0.00018012384638477208,0.00977279699933401,0.009772796999333951,0.009772796999333751,0.016708049551278904,0.0167080495512791,0.01670804955127929,-3.5255561751028184
1.1016115945288893,1.4302250497605622e-05,0.09832601429443921,-0.00014657005741753118,0.00014032616512569483,0.00014032616512580214,0.00014032616512579024,0.0756970040446214,0.07569700404462151,0.0756970040446215,-1.1640585842480413
1.1750260558957077,1.7756813383270975e-09,0.17150626183729967,-1.4976397496069948e-07,6.454704923386128e-08,6.454704923966111e-08,6.454704922754711e-08,0.14875129044422156,0.1487512904442216,0.1487512904442216,-0.6943995146423595
1.253333061208639,4.456589304261672e-15,0.24957869638802188,-2.3634697042967914e-12,6.428651289457881e-13,6.429863260418312e-13,6.429578713892184e-13,0.22682366222421416,0.22682366222421432,0.22682366222421424,-0.4932622704871585
1.3368586632074158,2.01797943747814e-22,0.33285409707042324,-2.220446049250313e-16,3.6857372907012915e-17,8.39434658196394e-17,3.440742818430659e-17,0.31009906290597744,0.3100990629059775,0.31009906290597755,-0.3807184202912462
1.4259506436934322,1.5615915371695546e-31,0.42167920212828025,-7.102714427250923e-16,-1.1643718614445819e-17,3.3498608557832037e-18,5.085950662650635e-18,0.3989241679638343,0.3989241679638344,0.39892416796383456,-0.309418421074158
1.5209799616148643,2.005405208219263e-42,0.5164238593005674,1.6835686836864288e-16,-2.0815242205962462e-17,4.489133816680028e-17,1.2353906904317269e-17,0.49366882513612137,0.4936688251361217,0.49366882513612187,-0.2599206494645927
1.6223422976562094,4.199671407952988e-55,0.617482564008512,-6.06310669438863e-14,7.949492478310057e-16,5.200049489487358e-16,9.740837303385782e-17,0.5947275298440674,0.5947275298440681,0.5947275298440694,-0.22416906850988907
1.730459701763573,1.418182200798609e-69,0.7252761019457084,-4.0260911379525385e-17,5.5687396760796704e-15,3.37523425812113e-15,5.573828224415726e-16,0.7025210677812723,0.7025210677812772,0.7025210677812872,-0.1962744092384966
1.8457823504656206,7.663900227576779e-86,0.840253301135006,-3.9129492719169046e-12,2.6779327245518434e-14,1.6156578685067653e-14,2.4258109004647346e-15,0.8174982669706076,0.8174982669706308,0.8174982669706593,-0.17453124269822196
1.9687904213072895,6.592225663593708e-104,0.9628929007473475,1.0690258686578107e-16,9.613891527031631e-14,5.495979284236691e-14,7.781890358791222e-15,0.9401378665830746,0.9401378665831562,0.940137866583122,-0.15662095114450514
2.0999960922009757,8.990140644337185e-124,1.0937055444638886,3.932563994692749e-11,2.776654273868318e-13,1.5128958893002023e-13,1.8479588483401712e-14,1.070950510299969,1.0709505103002426,1.0709505102999821,-0.14224591527009936
2.239945674020047,1.938036501956144e-145,1.2332359066813199,-1.5929709090792835e-10,6.952028039236831e-13,3.4674489666270074e-13,3.319769214223466e-14,1.2104808725183602,1.210480872519436,1.210480872520967,-0.1301093119293233
2.3892218853143206,6.58902656859007e-169,1.3820649604134219,-3.9983097746818746e-16,1.4925555275567946e-12,6.589098783269816e-13,4.446264644498589e-14,1.3593099262527386,1.3593099262566548,1.3593099262738668,-0.11963487421989344
2.5484462786189117,3.5266184986100026e-194,1.5408123963318965,1.465150819426455e-14,2.5124288247964915e-12,9.55929564626665e-13,3.855472595107958e-14,1.518057362175056,1.518057362185796,1.518057362260895,-0.11065426328249582
2.718281828459045,2.9671765490476606e-221,1.7101392030187967,5.406798990031922e-10,2.8017024401996617e-12,8.545021519086767e-13,5.255270659137825e-15,1.6873841688650173,1.687384168885132,1.6873841690816744,-0.10270076514749003
