,HESTON,RHESTON
1e-05,0.004374983813740241,
3.0000000000000004e-05,0.004374951535521254,
5.000000000000001e-05,0.004374919278901657,0.10814847372313278
7.000000000000002e-05,0.004374887014677031,0.10225554277137165
9.000000000000002e-05,0.004374854828212427,0.09769977058374252
0.00030000000000000003,0.004374516050692501,0.07723585988366598
0.0005000000000000001,0.004374193479916855,0.06958979134157606
0.0007000000000000001,0.004373870913293443,0.06489959121938216
0.0009000000000000002,0.004373548358574397,0.0615684069519935
0.003,0.0043701620898894955,0.04746542483030844
0.005,0.004366938026931222,0.042307014002393104
0.007,0.004363714913274697,0.03914599082769747
0.009000000000000001,0.004360492767316315,0.036900124252133015
0.011,0.004357271590976763,0.03517457743466325
0.03,0.0043267228596904905,0.027388449105536852
0.049999999999999996,0.0042946791984244115,0.023924049694699218
0.06999999999999999,0.004262766172691279,0.021812791442868407
0.08999999999999998,0.004230997670048864,0.020320338824849488
0.10999999999999997,0.004199386429407093,0.01917872672897794
0.30000000000000004,0.0039087814065141835,0.014093415245307328
0.5000000000000001,0.0036257672143602537,0.011870401869693015
0.7000000000000001,0.0033685965626500947,0.010530103848342687
0.9000000000000001,0.003137098673650085,0.0095908022783385
w